Voltage (mV),Effective BER,Static Power (mW),Access Energy (nJ)
1000,9.4915E-11,673.95077,0.06094
990,4.8596E-11,659.57876,0.06073
980,7.2898E-11,644.94674,0.06053
970,1.0905E-10,630.94272,0.06033
960,1.6266E-10,617.11468,0.06012
950,2.4195E-10,603.89462,0.05992
940,3.5884E-10,591.27054,0.05972
930,5.3066E-10,578.80643,0.05951
920,7.8244E-10,566.50226,0.05931
910,1.1503E-09,554.36602,0.05911
900,1.6859E-09,542.78969,0.05890
890,2.4635E-09,531.37321,0.05870
880,3.5887E-09,520.34053,0.05850
870,5.2117E-09,509.45957,0.05829
860,7.5450E-09,498.80222,0.05809
850,1.0888E-08,488.51634,0.05789
840,1.5663E-08,478.41370,0.05769
830,2.2459E-08,468.44603,0.05748
820,3.2099E-08,458.72495,0.05728
810,4.5725E-08,449.25232,0.05708
800,6.4918E-08,439.87385,0.05688
790,9.1859E-08,430.80417,0.05667
780,1.2954E-07,421.89482,0.05647
770,1.8205E-07,413.14372,0.05627
760,2.5495E-07,404.54702,0.05607
750,3.5580E-07,396.16694,0.05587
740,4.9479E-07,387.83011,0.05567
730,6.8562E-07,379.82839,0.05546
720,9.4662E-07,371.82392,0.05526
710,1.3022E-06,364.06539,0.05506
700,1.7848E-06,356.34780,0.05486
690,2.4370E-06,348.72027,0.05466
680,3.3152E-06,341.16390,0.05446
670,4.4926E-06,333.71393,0.05426
660,6.0649E-06,326.22141,0.05406
650,8.1558E-06,318.82625,0.05386
640,1.0924E-05,311.33737,0.05366
630,1.4575E-05,303.73158,0.05346
620,1.9368E-05,295.97434,0.05325
610,2.5634E-05,287.91376,0.05305
600,3.3787E-05,279.62576,0.05285
590,4.4351E-05,270.84340,0.05265
580,5.7976E-05,261.57931,0.05245
570,7.5467E-05,251.76890,0.05225
560,9.7817E-05,241.27887,0.05205
550,1.2624E-04,230.08562,0.05185
540,1.6222E-04,218.30925,0.05165
530,2.0753E-04,205.96721,0.05145
520,2.6433E-04,193.28835,0.05126
510,3.3515E-04,180.63545,0.05106
500,4.2302E-04,168.49459,0.05086
490,5.3148E-04,157.33383,0.05066
480,6.6463E-04,147.72702,0.05046
470,8.2722E-04,140.04664,0.05026
460,1.0247E-03,134.44727,0.05006
450,1.2631E-03,130.80074,0.04986
440,1.5493E-03,128.72848,0.04966
430,1.8910E-03,127.72672,0.04946
420,2.2963E-03,127.32770,0.04927
410,2.7741E-03,127.20143,0.04907
400,3.3337E-03,127.17062,0.04887
390,3.9849E-03,127.16514,0.04867
380,4.7373E-03,127.16406,0.04847
370,5.6005E-03,127.16440,0.04827
360,6.5836E-03,127.16400,0.04808
350,7.6943E-03,127.16400,0.04788
340,8.9391E-03,127.16440,0.04768
330,1.0322E-02,127.16400,0.04748
320,1.1845E-02,127.16400,0.04729
310,1.3507E-02,127.16440,0.04709
300,1.5300E-02,127.16440,0.04689
290,1.7215E-02,127.16408,0.04669
280,1.9236E-02,127.16416,0.04650
270,2.1342E-02,127.16432,0.04630
260,2.3506E-02,127.16436,0.04610
250,2.5695E-02,127.16440,0.04590
240,2.7872E-02,127.16412,0.04571
230,2.9993E-02,127.16424,0.04551
220,3.2014E-02,127.16432,0.04531
210,3.3884E-02,127.16440,0.04512
200,3.5555E-02,127.16428,0.04492
190,3.6979E-02,127.16412,0.04472
180,3.8112E-02,127.16436,0.04453
170,3.8913E-02,127.16420,0.04433
160,3.9353E-02,127.16416,0.04414
150,3.9408E-02,127.16436,0.04394
140,3.9068E-02,127.16408,0.04374
130,3.8334E-02,127.16428,0.04355
120,3.7219E-02,127.16424,0.04335
110,3.5748E-02,127.16424,0.04316
100,3.3959E-02,127.16404,0.04296
,,,