Voltage (mV),BER,Static Power (mW),Access Energy (nJ)
1000,9.4915E-11,52.999,0.000
990,4.8596E-11,50.912,0.000
980,7.2898E-11,48.912,0.000
970,1.0905E-10,46.995,0.000
960,1.6266E-10,45.157,0.000
950,2.4195E-10,43.397,0.000
940,3.5884E-10,41.709,0.000
930,5.3066E-10,40.092,0.000
920,7.8244E-10,38.543,0.000
910,1.1503E-09,37.058,0.000
900,1.6859E-09,35.636,0.000
890,2.4635E-09,34.274,0.000
880,3.5887E-09,32.969,0.000
870,5.2117E-09,31.719,0.000
860,7.5450E-09,30.522,0.000
850,1.0888E-08,29.375,0.000
840,1.5663E-08,28.277,0.000
830,2.2459E-08,27.226,0.000
820,3.2099E-08,26.219,0.000
810,4.5725E-08,25.255,0.000
800,6.4918E-08,24.332,0.000
790,9.1859E-08,23.448,0.000
780,1.2954E-07,22.602,0.000
770,1.8205E-07,21.792,0.000
760,2.5495E-07,21.016,0.000
750,3.5580E-07,20.273,0.000
740,4.9479E-07,19.561,0.000
730,6.8562E-07,18.878,0.000
720,9.4662E-07,18.224,0.000
710,1.3022E-06,17.597,0.000
700,1.7848E-06,16.994,0.000
690,2.4370E-06,16.414,0.000
680,3.3152E-06,15.856,0.000
670,4.4926E-06,15.317,0.000
660,6.0649E-06,14.795,0.000
650,8.1558E-06,14.288,0.000
640,1.0924E-05,13.793,0.000
630,1.4575E-05,13.308,0.000
620,1.9368E-05,12.829,0.000
610,2.5634E-05,12.354,0.000
600,3.3787E-05,11.878,0.000
590,4.4351E-05,11.397,0.000
580,5.7976E-05,10.909,0.000
570,7.5467E-05,10.410,0.000
560,9.7817E-05,9.898,0.000
550,1.2624E-04,9.373,0.000
540,1.6222E-04,8.836,0.000
530,2.0753E-04,8.292,0.000
520,2.6433E-04,7.750,0.000
510,3.3515E-04,7.224,0.000
500,4.2302E-04,6.731,0.000
490,5.3148E-04,6.289,0.000
480,6.6463E-04,5.916,0.000
470,8.2722E-04,5.623,0.000
460,1.0247E-03,5.413,0.000
450,1.2631E-03,5.279,0.000
440,1.5493E-03,5.204,0.000
430,1.8910E-03,5.168,0.000
420,2.2963E-03,5.154,0.000
410,2.7741E-03,5.150,0.000
400,3.3337E-03,5.148,0.000
390,3.9849E-03,5.148,0.000
380,4.7373E-03,5.148,0.000
370,5.6005E-03,5.148,0.000
360,6.5836E-03,5.148,0.000
350,7.6943E-03,5.148,0.000
340,8.9391E-03,5.148,0.000
330,1.0322E-02,5.148,0.000
320,1.1845E-02,5.148,0.000
310,1.3507E-02,5.148,0.000
300,1.5300E-02,5.148,0.000
290,1.7215E-02,5.148,0.000
280,1.9236E-02,5.148,0.000
270,2.1342E-02,5.148,0.000
260,2.3506E-02,5.148,0.000
250,2.5695E-02,5.148,0.000
240,2.7872E-02,5.148,0.000
230,2.9993E-02,5.148,0.000
220,3.2014E-02,5.148,0.000
210,3.3884E-02,5.148,0.000
200,3.5555E-02,5.148,0.000
190,3.6979E-02,5.148,0.000
180,3.8112E-02,5.148,0.000
170,3.8913E-02,5.148,0.000
160,3.9353E-02,5.148,0.000
150,3.9408E-02,5.148,0.000
140,3.9068E-02,5.148,0.000
130,3.8334E-02,5.148,0.000
120,3.7219E-02,5.148,0.000
110,3.5748E-02,5.148,0.000
100,3.3959E-02,5.148,0.000